label,sentence1,sentence2,sample_index
1,A person in makeup in a traditional ceremony.,A person takes part in a traditional ritual,1
1,"In front of a laundromat and The Gulch of San Francisco, there is a man down on the ground, a man on a cellphone, and a couple of women walking by.","People are going about their normal business in San Francisco, and in front of this laundromat is no exception.",12
0,A black man holding a basketball while listening to music on his iPod.,A white man holding a basketball while listening to music on his iPod.,17
1,Three women wearing blue walk along a sidewalk while laughing and smiling.,Women walk together outdoors.,24
0,Good Samaritan pulling an extremely drunken man out of the street onto the sidewalk to avoid him from being run over.,A person running away from someone in need.,25
0,The long black shadow casts a image on the rock while the young girl climbs the rock.,A cat is climbing a rock.,29
0,A young blond woman in a polka-dot outfit and black glasses sitting in a restaurant.,A young woman waits for her romantic date at the restaurant.,31
1,Three young women pose for the camera while a crowd stands behind them.,There are lots of people in the picture that the camera is taking.,41
0,Two women in a mixture of Islamic and American garb bring large boxes on a cart through a checkout line.,Three old men sit on a bench and chat.,47
0,A dog gets major air catching frisbees in a trick contest.,A dog is doing great in the competition for Frisbee catching.,49
1,Girl with tattoos looking a painting.,A girl looks at a painting.,55
0,A recently married couple pose outside in their wedding clothes.,They just filed for divorce.,56
0,People play beer pong.,A group of college students studying for a test.,59
1,The girl is wearing headphones and holding a Michael Jackson album.,The girl is wearing headphones listening to a famous pop artist.,65
1,A smiling man wearing glasses holds a crying baby to his face.,A man is holding a young baby.,66
0,Several people dressed with angle wings and orange vest waiting for the subway.,A group of people gathering together.,73
1,A man and a woman are planting flowers.,People are planting flowers.,74
0,Stargazer in a leather jacket prepares to gaze at the evening sky.,Stargazer in a leather jacket prepares to gaze at the morning sky.,77
1,Woman with a hat on climbing a cliff near a large body of water.,A woman is outside.,78
1,Old person walking down the sidewalk next to a white building.,There are people in the road.,80
1,"Two women, one in traditional Mexican clothing, help a child across the street, as a man looks on."," Two women, one in traditional Mexican clothing.",92
1,"Surrounded by spectators, a man in a red shirt, white pants and visor, swings a golf club.",A man is outside.,96
1,A pitcher is getting ready to throw a ball during a baseball game.,A baseball game is being played.,97
1,The man in the glasses is working on a laptop computer.,A person with a laptop.,105
0,Two workers help customers at the Sonoma Artisan Sourdough Baker stand.,The bicycle salesmen sell the women used bicycles.,106
1,Two kids eat corndogs outside.,The children are snacking.,116
1,Two people look at a view.,There are two people.,134
0,A man smokes a cigarette through a dusk mask while sitting in a chair.,the man doesnt smoke,136
1,A bride and groom are standing on a walkway looking at a body of water.,a couple look out over the lake,146
0,Three sailboats float on calm water in front of hills and palm trees.,A couple of boats being disposed of at the junk yard.,147
1,"A carver bent over a statue holding a chisel and a carving hammer of sorts, wearing a black work shirt and safety goggles.",The carver is holding a chisel.,154
1,Beautiful girl opening a Christmas present with two dogs at her feet.,Beautiful girl opening a Christmas present,162
1,A female figure skating in a black leotard.,A woman is ice skating.,163
0,"Man with old movie camera and equipment, all in gold, being approached by a young child in a blue coat.",A kid approaching a man with camera equipment to ask a question.,170
0,Girl throws a red bowling ball down the lane at the bowling alley.,A girl watches her bowling ball head for the gutter.,173
1,A Mexican man rides on a cart pulled by a donkey.,There is a person in a cart that's being pulled by an animal.,177
1,"A person rollerskating while wearing knee-pads, helmet, and wrist-guards.",A person with safety gear is skating.,178
