label,sentence1,sentence2,sample_index
1,A person in makeup in a traditional ceremony.,A person takes part in a traditional ritual,1
1,A woman who looks serious and aloof and a man wearing a strange balloon hat are crossing the street at a crosswalk.,Two people are walking outdoors.,6
0,A person wearing a large black hat that obscures their face eats noodles with chopsticks.,A person wearing a large black hat that obscures their face eats ramen noodles with chopsticks.,8
1,"A confrontation between two gentlemen is occurring, one wielding a guitar, the other balling a fist.",One man is holding a guitar.,9
1,"In front of a laundromat and The Gulch of San Francisco, there is a man down on the ground, a man on a cellphone, and a couple of women walking by.","People are going about their normal business in San Francisco, and in front of this laundromat is no exception.",12
0,A man in a long brown coat is looking at another person in a bright yellow jacket.,Two men are wearing shorts and sunglasses.,14
0,A black man holding a basketball while listening to music on his iPod.,A white man holding a basketball while listening to music on his iPod.,17
0,A boy with a cap carrying a skateboard is walking along the lip of a feature at a skate park.,A man is looking for his cat,19
1,Four boys are playing hockey in rollerskates while wearing blue and white safety gear.,Boys are playing hockey.,23
1,Three women wearing blue walk along a sidewalk while laughing and smiling.,Women walk together outdoors.,24
0,Good Samaritan pulling an extremely drunken man out of the street onto the sidewalk to avoid him from being run over.,A person running away from someone in need.,25
1,People in a pool and something just created a large splash.,There are people in the pool.,26
0,The long black shadow casts a image on the rock while the young girl climbs the rock.,A cat is climbing a rock.,29
0,A young blond woman in a polka-dot outfit and black glasses sitting in a restaurant.,A young woman waits for her romantic date at the restaurant.,31
1,A black and white dog running away across the grass.,The animal is running away outdoors.,36
1,A lady holds a little boy while another little boy smiles at them.,A woman with two boys.,38
1,Three young women pose for the camera while a crowd stands behind them.,There are lots of people in the picture that the camera is taking.,41
1,The female with the dark shirt cutting the hair of the female in the red shirt.,A woman is giving a haircut.,43
0,A woman with long hair plays a stringed instrument in what appears to be a classical music ensemble.,A woman with long hair and a pink bow on her head plays a stringed instrument in what appears to be a classical music ensemble.,44
1,A man holds up an electronic device while he and another male look on.,People are focused on a specific task.,46
0,Two women in a mixture of Islamic and American garb bring large boxes on a cart through a checkout line.,Three old men sit on a bench and chat.,47
0,A dog gets major air catching frisbees in a trick contest.,A dog is doing great in the competition for Frisbee catching.,49
1,"A large group of people are gathered in a courtyard, with some laying on mats.",People are congregating in a courtyard.,51
1,"A guy in an orange shirt, orange shoes and brown hat on an airborne skateboard.",A man with riding a skateboard.,52
1,Girl with tattoos looking a painting.,A girl looks at a painting.,55
0,A recently married couple pose outside in their wedding clothes.,They just filed for divorce.,56
0,People play beer pong.,A group of college students studying for a test.,59
1,The girl is wearing headphones and holding a Michael Jackson album.,The girl is wearing headphones listening to a famous pop artist.,65
1,A smiling man wearing glasses holds a crying baby to his face.,A man is holding a young baby.,66
0,A smiling man plays with a baby.,A smiling woman plays with a baby.,67
1,"A shirtless young man, standing under purple lighting, points to the sky with both hands while holding a microphone in one hand.",A man is holding a microphone.,69
0,Several people dressed with angle wings and orange vest waiting for the subway.,A group of people gathering together.,73
1,A man and a woman are planting flowers.,People are planting flowers.,74
0,Stargazer in a leather jacket prepares to gaze at the evening sky.,Stargazer in a leather jacket prepares to gaze at the morning sky.,77
1,Woman with a hat on climbing a cliff near a large body of water.,A woman is outside.,78
1,Old person walking down the sidewalk next to a white building.,There are people in the road.,80
0,Basketball player attempts to dunk the basketball while being surrounded by three members of the opposing team.,The player is trying to kick a field goal.,82
0,A blond baby is watching a dark-haired baby chew on a blue toy.,Two baby brothers are lying together.,85
1,Two men dressed in hula skirts on the back of a moving truck.,The men dressed in hula skirts.,86
0,The mountains in the distance are wooded and snowy.,The mountains have an altitude of over 5200 feet.,89
0,A little boy in a life jacket jumping into a pool.,The little boy is naked.,90
1,"Two women, one in traditional Mexican clothing, help a child across the street, as a man looks on."," Two women, one in traditional Mexican clothing.",92
1,"Surrounded by spectators, a man in a red shirt, white pants and visor, swings a golf club.",A man is outside.,96
1,A pitcher is getting ready to throw a ball during a baseball game.,A baseball game is being played.,97
1,A group of young people are standing and sitting around a table eating and drinking with one another.,The people are having a meal.,98
