label,sentence,sample_index
1,the rock is destined to be the 21st century s new conan and that he s going to make a splash even greater than arnold schwarzenegger jean claud van damme or steven segal,0
1,taymor utilizes the idea of making kahlo s art a living breathing part of the movie often catapulting the artist into her own work,21
1,take care of my cat is an honestly nice little film that takes us on an examination of young adult life in urban south korea through the hearts and minds of the five principals,24
1,what empire lacks in depth it makes up for with its heart,25
1,it s a glorious spectacle like those d w griffith made in the early days of silent film,63
1,familiar but utterly delightful,93
1,a fascinating dark thriller that keeps you hooked on the delicious pulpiness of its lurid fiction,94
1,as broad and cartoonish as the screenplay is there is an accuracy of observation in the work of the director frank novak that keeps the film grounded in an undeniable social realism,99
1,in addition to hoffman s powerful acting clinic this is that rare drama that offers a thoughtful and rewarding glimpse into the sort of heartache everyone has felt or will feel someday,100
1,miller tells this very compelling tale with little fuss or noise expertly plucking tension from quiet,112
1,it is sentimental but feels free to offend is analytical and then surrenders to the illogic of its characters is about grief and yet permits laughter,126
1,what could have been a daytime soap opera is actually a compelling look at a young woman s tragic odyssey,136
1,a terrific insider look at the star making machinery of tinseltown,146
1,the pianist is the film roman polanski may have been born to make,151
1,poignant and delicately complex,153
1,it s the filmmakers post camp comprehension of what made old time b movies good bad that makes eight legged freaks a perfectly entertaining summer diversion,160
1,despite its shortcomings girls ca n t swim represents an engaging and intimate first feature by a talented director to watch and it s a worthy entry in the french coming of age genre,164
1,a compelling motion picture that illustrates an american tragedy,168
1,extremely well acted by the four primary actors this is a seriously intended movie that is not easily forgotten,174
0,begins with promise but runs aground after being snared in its own tangled plot,180
1,there s a part of us that can not help be entertained by the sight of someone getting away with something,197
1,what s not to like about a movie with a children s song that includes the line my stepdad s not mean he s just adjusting,199
1,not everyone will welcome or accept the trials of henry kissinger as faithful portraiture but few can argue that the debate it joins is a necessary and timely one,201
1,a triumph of emotionally and narratively complex filmmaking,207
1,an intense and effective film about loneliness and the chilly anonymity of the environments where so many of us spend so much of our time,209
1,probably the best case for christianity since chesterton and lewis,216
1,the large frame imax camera lends itself beautifully to filming the teeming life on the reefs making this gorgeous film a must for everyone from junior scientists to grown up fish lovers,237
1,there s back stabbing inter racial desire and most importantly singing and dancing,256
1,one feels the dimming of a certain ambition but in its place a sweetness clarity and emotional openness that recalls the classics of early italian neorealism,275
1,a sensitive modest comic tragedy that works as both character study and symbolic examination of the huge economic changes sweeping modern china,280
1,cusack s just brilliant in this,281
1,i thought the relationships were wonderful the comedy was funny and the love real,292
0,made to be jaglomized is the cannes film festival the annual riviera spree of flesh buzz blab and money,307
1,amari has dressed up this little parable in a fairly irresistible package full of privileged moments and memorable performances,329
1,the pianist is a supremely hopeful cautionary tale of war s madness remembered that we today can prevent its tragic waste of life,334
1,as an introduction to the man s theories and influence derrida is all but useless as a portrait of the artist as an endlessly inquisitive old man however it s invaluable,343
1,strip it of all its excess debris and you d have a 90 minute four star movie,375
1,strange funny twisted brilliant and macabre,400
1,an entertaining british hybrid of comedy caper thrills and quirky romance,404
1,even if you do n t understand what on earth is going on this is a movie that will stimulate hours of post viewing discussion if only to be reminded of who did what to whom and why,423
1,the four feathers has rewards from the exoticism of its seas of sand to the fierce grandeur of its sweeping battle scenes,430
1,and there s an element of heartbreak to watching it now with older and wiser eyes because we know what will happen after greene s story ends,433
1,there s plenty to enjoy in no small part thanks to lau,437
1,for most of the distance the picture provides a satisfyingly unsettling ride into the dark places of our national psyche,449
1,the film sparkles with the the wisdom and humor of its subjects,460
1,a heartening tale of small victories and enduring hope,469
1,once the true impact of the day unfolds the power of this movie is undeniable,497
1,a three hour cinema master class,504
1,i loved this film,508
1,the touch is generally light enough and the performances for the most part credible,525
1,it s usually a bad sign when directors abandon their scripts and go where the moment takes them but olympia wash based filmmakers anne de marcken and marilyn freeman did just that and it s what makes their project so interesting,537
1,i hope the movie is widely seen and debated with appropriate ferocity and thoughtfulness,544
1,there s so much to look at in metropolis you hate to tear your eyes away from the images long enough to read the subtitles,550
1,enjoyably dumb sweet and intermittently hilarious if you ve a taste for the quirky steal a glimpse,560
1,it s no surprise that as a director washington demands and receives excellent performances from himself and from newcomer derek luke,573
1,what makes this film special is serry s ability to take what is essentially a contained family conflict and put it into a much larger historical context,577
1,as a vehicle to savour binoche s skill the film is well worthwhile,586
1,even during the climactic hourlong cricket match boredom never takes hold,591
1,if the film has a problem its shortness disappoints you want the story to go on and on,595
1,young everlyn sampi as the courageous molly craig simply radiates star power potential in this remarkable and memorable film,604
1,surprisingly powerful and universal,605
1,morvern callar confirms lynne ramsay as an important original talent in international cinema,606
1,west coast rap wars this modern mob music drama never fails to fascinate,623
1,an eerily suspenseful deeply absorbing piece that works as a treatise on spirituality as well as a solid sci fi thriller,637
