label,sentence1,sentence2,sample_index
1,A military branch prepare for their duties.,a child was there,0
1,An Asian man sitting in a boat with a wide variety of fruit around him.,A man is sitting in a boat with fruits.,21
0,Good Samaritan pulling an extremely drunken man out of the street onto the sidewalk to avoid him from being run over.,A person running away from someone in need.,25
0,The dog is chasing the other dog carrying a stick in its mouth.,The two dogs are sitting down.,28
0,Three people in the snow put their gear in order.,A group of people put their gear in order for their hike.,62
0,A few bike racers riding in a straight line,People in the bike race were talking and exchanging snacks.,63
1,Woman with a hat on climbing a cliff near a large body of water.,A woman is outside.,78
0,A young man in a black t-shirt playing the drums.,A young man in a black t-shirt plays a drum solo.,79
0,"A few girls are lined up, all wearing the same outfit, about to perform at a dance recital.",They are ready to go to bed earlier.,93
1,A woman wearing a black and blue dress figure skating on one leg.,A woman is out skating.,99
0,"In a baseball game the batter is swinging at the ball, while the catcher patiently waits for the ball to hit his glove.",The pitcher is ready because he doesn't think that the batter will hit the ball.,100
0,Two people go parasailing on the ocean with a beautiful scenic view in the background.,The couple are sailing on the water.,112
0,A brown dog jumps over a barrier that is black and white.,An animal is jumping over the hurdle.,115
1,Two kids eat corndogs outside.,The children are snacking.,116
0,A man with glasses standing on a ladder painting a wall.,A man is painting a mural.,120
1,A man brushing his teeth in the mirror.,A man is brushing his teeth.,123
0,A man helping a young child rollerskate.,The man and the boy are both eating ice cream.,127
1,A Chinese high priest with her children in front of her wooden house.,The priest and children were outside of the house.,131
0,A man smokes a cigarette through a dusk mask while sitting in a chair.,the man doesnt smoke,136
1,A man and a woman posing in front of a christmas tree.,Two people know each other.,165
0,Woman wearing sunglasses wearing a black outfit singing.,The sunglasses are large.,168
0,Two female street performers playfully interact using a ball as a prop.,Two women are trying to make money by playing a show.,183
0,"A person wearing a red, white, and blue helmet sitting on a motorcycle.",A person wearing black is driving a car.,199
0,"A young boy hold a blue bucket, as it fills with water.",A bucket is filling with water,207
0,A woman and a man twirling in a dance alone on a wooden floor.,A couple dance on a crowded floor.,213
0,A young boy sits next to a wind sculpture.,A boy sits next to a statue of a dog.,222
1,"A Girl Wearing Boots, Is Sitting On A Rock Near a Pond.",Someone sits near water.,236
0,"A man wearing a white cap, sunglasses, and red vest is playing a gold sousaphone.","A man, completely nude, plays a gold sousaphone.",243
0,"A young child plays with a hose in a field with another child, and two adults.",The children playing are siblings.,266
0,Skateboarder on a rail.,Ten skateboraders,284
0,A woman is pulling a motorcycle up onto one wheel performing a trick.,A women is pulling a scooter up onto one wheel to do a trick.,292
0,A person wearing a blue and white hooded jacket playing with a device is standing outside a store with a sale sign on windows.,A girl in a pink sundress is skating on the sidewalk.,307
1,Asian emo boy rests hands on hips beside a river.,An Asian emo boy stands with his hands on his hips next to a river.,324
1,A boy rides down a slide into a small backyard pool.,There is water in the pool,329
0,A child wearing shorts is moving a window screen.,There is a child in long pants moving a watering can.,350
0,"The children are playing outdoors, while a man smiles nearby.",The kids are stealing from a store.,363
1,"A slightly overweight young man, with long black hair and a green sweatshirt, leans back in a chair holding a bottle to his chest.",The chubby man enjoys his chair and beverage,373
1,"A gentleman with a red shirt, glasses and graying hair is standing in a room full of seated people.",A man is standing while other are sitting.,375
1,A young child wearing a mask at Ivars.,A child being playful,387
1,A bicyclist is in midair on a cloudy day.,A person is riding a bike.,404
0,A bull terrier terrorizes an old tire in the sand.,The dog is a poodle.,423
0,"A night shot of people gathered around a sign that says ""We Are Demanding"".","A night shot of people gathered around a sign that says ""NO SMOKING"".",433
1,Two men in black coats stand by the side of a building.,Two men are standing.,437
0,A man in a band is singing while wearing a very loud shirt.,A man is sleeping in a chair.,448
1,A man with his shoes off is sitting on a rug.,a person sitting.,469
1,"Three men playing soccer, their uniforms indicating that one of them is from one team and the other two from the other, are all after the ball.",Three people are playing sports.,497
0,A woman sits on a gray bench beside a bottle.,The woman sits on a rug.,523
0,A woman and a child with a backpack walk down a city street towards a group of men.,A woman and her child walk towards the group of women.,537
1,Three people pose with their political signs out in public.,Three people are in public posing with their political signs.,571
0,Have a quick chat and smoke break.,People are running in a marathon for lung cancer awareness.,573
0,A little boy is standing on the street while a man in overalls is working on a stone wall.,A man is working on his truck.,586
1,A woman waring a purple sweatshirt in a jewelry store is bent over inside the display case.,A human in a shirt,591
0,"An man wearing a yellow shirt, denim suspenders and an orange hat reading under the rear tire of a vehicle as a child watches.",Some people are walking together.,592
1,A stage performance appears to lead to violence while the band plays on.,A band playing music while fighting happens.,595
0,Football players huddle and get ready for the game.,The game is over,604
1,2 women are standing in a street playing a blue guitar and a violin.,Two women are playing instruments in the street,606
0,A man and a woman are walking across a street.,two chiildren are walking,611
0,Two men in white suits play the guitar on a stage.,The duo is a famous musical act.,612
1,"A child touching a red plastic object, with a crowd behind him.",The child is being watched by people.,623
1,"A woman in a blue dress, a cowboy hat, and a pink boa walks down the street.",A girl is walking.,625
1,Four young adults sit on the floor and work on a project.,Four young adults are working,626
1,An unhappy looking girl wearing a pink skirt and a boy with a white t-shirt are sitting on a couch.,Two children are sitting on a couch.,645
0,Guy in a suit playing the trumpet.,The man is playing the guitar.,647
1,A creepy old man stars at a young couple as they smoke a cigarette.,The man stares at a young couple,650
1,People are working on the factory floor while yellow stacks of paper go by.,People are at work indoors,656
0,Several people are gathered around a monitor in a dimly lit room.,They are watching a vide,659
1,A woman selling hats outside.,A person selling hats outside.,673
0,A woman walks holding an umbrella.,A tall human holding an umbrella,691
0,Two groups of swimmers wade out.,two groups of swimmers are competing,699
1,The two dogs are running toward the camera.,There are two dogs.,705
0,Three men are riding in a wooden boat in the middle of a city.,Three men are driving a car,714
0,A group of basketball players jump in the air for the ball.,The African Americans players jump in the air for the ball.,732
1,A man wearing a brown t-shirt is talking to a woman wearing a flowered tank top at an outdoor music concert.,A man is talking to a woman.,736
1,Three dogs are playing with a yellow ball in a grassy field.,Some dogs are running outside.,739
0,"Four men are rollerskating in a park, holding on to each others' waists.",The men are performing a dance routine on rollerskates.,755
1,A goggled boy leaps from the edge into a shimmering pool with someone watching on in the background.,A boy jumps into a pool outdoors.,761
0,A crowd gathers in the street to watch a performer roll a chrome ball over his body.,a crowd is mesmerized by a street performer.,765
1,A dog standing in the shallow part of the ocean while the waves splash around.,dog standing among waves in the ocean,770
0,A man wearing a helmet bicycling in the woods.,A man is biking to a campsite.,797
0,People walking on a one way urban street.,People running on the street in front of cars.,804
1,two dogs running in grass,The dogs are outdoors.,807
0,A group of construction workers work next to a road at night.,There is no road to be fixed.,824
1,A man wearing a leather jacket and a bandanna approaches a parked motorcycle outside of a building.,a man in a jacket,827
0,The photo looks down on a street where five pedestrians are walking.,The photograph is shot by a female.,851
0,A chunk of meat is presented out the window of a shop while a young man goes toward it.,The man is asleep.,894
0,"A woman in green, admiring the hands of a woman in black.",A woman holds her husband's hand,901
0,Three small children On a blanket on the ground surrounded by people in wheelchairs.,The children were in the park on a blanket.,903
0,A woman is looking down and wearing a white hair piece that looks like a wedding veil.,A woman is getting married.,928
1,"A man on crutches in a red, blue, and white uniform is standing on a football field looking up at the sky.",A person on crutches.,941
0,A little girl in a denim dress runs down a path.,A little boy in a denim dress runs down a path.,945
0,A person walking by buildings and cars.,A person is walking to the store.,956
0,A man jumps into the water on a sunny day.,A man walks near water.,967
0,"A crowd in stands holding up the letters ""K"","" R"","" U"","" N"", and"" C"".",The crowd is having a protest.,973
1,Kid in red sweatshirt ice skating,Kid in sweatshirt ice skating,1004
0,An older woman dressed in pink with a black fanny pack is outside with some trees and an interesting architectural design next to her.,A woman makes questionable fashion choices.,1020
0,A woman wearing black sunglasses stands outside of a building.,A man wearing eyeglasses sitting outside of a building.,1024
0,A girl with a bucket of water is being chased by a boy with a bucket of water.,The children are tossing water balloons.,1028
1,The girl in the pink clothing scribbled in the sand with her finger while a girl clad in a blue green shirt looked in the ocean.,Two girls are at the beach.,1040
0,Four people are selecting foods from the buffet.,The people are all grossly overweight.,1053
0,The brown dog catches a ball in the air.,The dog catches a ball in the open field.,1064
1,A tattoo artist making a tattoo on a forearm.,A person getting a tattoo,1071
0,Street performer by the beach on stilts playing the tuba.,Their job was to go to the hospital.,1111
1,"A boy and a girl are standing on the stairs, both facing away from the camera.",Two people stand together on the stairs.,1130
1,A boy does skateboard tricks on a railing.,boy on skateboard,1131
1,Workers wearing yellow and white hard hats working on tracks.,People are working.,1134
0,A young boy in a red sweatshirt holds a toy ax.,A little boy plays with his toy hammer.,1152
1,A person is standing in shallow water with a fishing net as the sun goes down.,The sun is falling as a person tries to fish.,1162
1,A statue of a young woman with her hands behind her head.,Statue of a woman.,1169
1,A man without a shirt standing on a roof.,A person without a shirt standing on a roof.,1179
1,A man and woman in a kitchen with plastic cups of wine or champagne.,A man and woman in a kitchen with plastic cups.,1186
1,A black and tan dog walking through the snow.,A dog is surrounded by snow.,1198
0,A man in a construction vest and hat crosses the road in front of a large truck in a wooded area.,The truck is a dump truck.,1207
0,A smiling man with a beard holds up a poster showing an abstract elephant cartoon painted in horizontal rainbow stripes.,The elephant is wielding a stick.,1208
0,A man and a woman in an embrace with a multicolored dog sitting behind the man.,A couple making love while a dog watches.,1221
1,Person in small boat in the ocean close to shore.,Person in small boat floating close to beach.,1241
0,A repairman is working on a train.,The repairman is taking tickets for the train commute.,1253
0,Two people sit on a well kept stone path that overlooks a large body of water.,Two people are taking pictures on the well.,1291
0,"A couple relax and chat on a park bench while enjoying a scenic fall view of the landscape, framed by the trunks of trees.","A couple is laughing while sitting on a park bench while enjoying a fall view of the landscape, framed by the trunks of tress.",1307
0,A wet black dog jumps into a pool to fetch a ball.,A black dog fetches a tennis ball.,1320
1,A nighttime rally at a landmark.,It is dark outside at the rally.,1321
1,Barefoot girl in a pink shirt tackles the football equipment on the field.,A girl is barefoot and tackles the football equipment outside.,1337
1,A man in work clothes is holding a chain.,A person with something in his hands.,1344
1,Two Asian women in high heels walk down a dirt street outdoors.,The women who are walking on a dirt road are wearing high heeled shoes.,1360
1,"A night scene of a skateboarder on a ramp, with onlookers.",People watch a skateboarder.,1383
1,A worker in a white straw hat with pink gloves on tending a small garden.,A person in a white hat is outdoors.,1384
1,An elderly man communicates with a man and a woman.,A human communicating,1408
0,Synchronized swimmer water-dancing in a pool during a performance.,The swimmer is swimming through lava.,1409
0,Woman unpacking a bag with photography equipment inside.,A women is going to use the equipment,1415
1,A little boy rides a bike down a hill on a miniature dirt bike.,A little boy is riding outside.,1429
1,A driver is sitting in a Team Penske race car.,A driver is sitting in a Nascar.,1434
1,Man in black with one foot on top of a ladder and arms performing a task on a storefront.,A man performs a task.,1440
1,"A girl running with a basketball, while another tries to steal the ball from her.",Two girls are playing with a basketball.,1447
0,Two soccer teams are playing a game in a stadium.,Two soccer teams are competing in a championship.,1472
1,A man is kissing the forehead of a baby that is lying on a couch.,A baby lying on a couch gets kessed by a man.,1483
1,A group of young children are participating in arts and crafts.,The children are using team work.,1508
0,European city view with a cafe to one side of a beautiful town square.,There is beautiful entertaining district of the town.,1510
1,A brunette woman brushes her teeth alone.,A woman is brushing her teeth.,1527
0,A girl in a blue shirt is sitting on a swing.,A girl is inside her house.,1562
0,"Three large dogs, one brown and the others black, tussle over a red toy in the grass outside a building.",dogs fight over toy,1608
1,A man is shaving his face in the mirror while a girl stands behind him and takes a picture.,A girl takes a picture of a man who is shaving.,1613
1,Two men are reading note cards into microphones.,Two men talking,1614
1,A large crowd of people are walking.,There are more than 5 people.,1616
0,A little boy is wearing a blue and white shirt while holding a toy animal that is either a crocodile or an alligator.,A little boy is holding a his new toy alligator.,1623
1,A group of people are gathered under a slatted awning.,Quite of few people are standing under the roof.,1629
0,Band performs at outdoor event.,Band refuses to perform at an indoor event.,1631
0,"Children sitting at a table, in a shack that appears to be some kind of classroom, bored and staring off into the distance.",man throws ball,1634
0,The men are sitting by a fire outside with two black dogs.,The women are sitting by a fire and roasting marshmallows.,1641
0,A woman holding a young boy in a day care center.,Woman holding a girl.,1655
1,Several people in front of stores.,there are people sanding in fron of the stores.,1659
1,"A man animatedly conversing, while a woman attempts to open a container",A man excitedly talks while a woman opens something.,1671
0,Two men participating in martial arts training inside a building.,The men are relaxing on the floor.,1674
0,A man with his shirt off standing in a work zone next to a pile of bricks.,The man is getting ready to throw a brick through a window.,1681
1,The tennis player has her hair tied back,The tennis player tied her hair back with something.,1684
1,Two men working outside cleaning the street in their orange uniforms.,Two men are cleaning the streets.,1707
1,"Woman in pink shirt and black shorts, holding a blue shovel, shoveling white snow.",A woman is shoveling snow.,1711
1,A young boy is walking in front of some stores,a young boy is walking in front of the store,1720
1,Photographers snap pictures of unseen subject.,Photographers take  pictures of something.,1731
1,"Man sitting on a bench in a wooded park, watching people walk past.",A man is in a park.,1734
0,Two people drive a Jeep while a lady sits on the top of it.,Two people are in the pool.,1740
0,A young man is doing a skateboarding trick while two guys take pictures and another is riding a scooter.,A young man does a skateboard trick while being photographed for a magazine.,1745
0,A group of people standing on a hillside decorated with yellow flowers as fog rolls over a nearby mountainside.,The children are on the merry-go-round.,1747
1,A couple watching a beautiful sunset on the sea side.,People watching a beautiful sunset on the sea side.,1776
1,People sit outside a tea house on a nice day.,A group of people outside.,1777
1,A girl sits on a wooden device suspended in air while two men hold her in place.,A girl is suspended high up in the air.,1781
0,A dog is jumping to play in the water,"The dog's owner is playing with the dog, throwing a stick into the water for the dog to retrieve.",1792
0,Little boy climbing tree and smiling.,happy little boy climbing up to his treehouse.,1799
0,A group of people are hiking in the forest.,People are riding bikes in the forest.,1805
0,A woman wearing sunglasses is drinking a bottle of water,The woman is drinking a bottle of Dasani.,1807
0,Middle eastern woman walking along side motorcyclist in heavy street traffic.,Egyptian woman walking along side motorcyclist in heavy street traffic.,1821
1,Two women and a child celebrating at a nighttime party.,There are two women and a child at the party.,1823
0,A blue race car on the side of the track.,The track is black.,1838
0,A man is wearing sound blockers on his ears.,The man has nothing on his ears.,1847
0,A man in a gray torso protector is kicking at a man in an orange torso protector's head.,A man shakes hands with his friend.,1862
1,Two people sitting on a tree stump in front of a pond.,People sitting outside by a pond,1863
0,A woman with a white shirt and jeans is riding a motorized scooter.,A woman is taking a bus to school.,1871
0,Rear view of dark-skinned woman walking on sidewalk near artwork that is on display.,A woman dances on the stage.,1882
0,A woman carrying a pot of flowers.,A woman is carrying a pot of pink flowers.,1890
0,Three men sitting in front of computers.,Three woman sitting in front of computers.,1913
1,A group of kids are posing outside for nice picture.,Some kids are getting ready to take a picture outdoors.,1924
1,A person on a mountain bike who's wearing a racer's outfit with a full face helmet is jumping off of a dirt outcropping.,A person rides a mountain bike.,1932
1,Three teens are talking near a wall.,Teenagers talking to each other.,1938
0,three males and a female watch as a biker fixes a chain that has come off his gear on his bike.,The group is standing around watching a burlesque show in Vegas.,1963
1,A group of 5 scuba divers talk on the surface next to a barrier island.,The divers are in the water.,1967
1,A lonely skier enjoys the slopes on a beautiful day.,A lonely skier is skiing outdoors.,1971
0,A woman combing another woman's hair.,The other woman has long hair.,1973
0,A little boy who appears to be about 5 years old is shown kicking a white volleyball.,a boy is kicking a flower,2003
0,two dancers dance together.,Two dancers sit.,2015
0,A black dog runs on green grass with a toy in his mouth.,A black dog plays fetch with a toy.,2022
1,"On a sidewalk, tall man in a black shirt and a police officer with their backs to the viewer walk past a man in a white t-shirt, black shorts, and sandals.","Two people, one in a black shirt, one in a police outfit walk away from the camera and past another man.",2023
0,A water play table in which a game can be played.,A water play table in which music can be heard.,2040
1,A small white dog climbs over a log.,An animal climbs over a log.,2046
0,The little girl is playing with the dollhouse.,A girl is playing in her room.,2051
1,Little boy is giving a kiss to a lizard.,The little boy is holding a lizard.,2068
0,A man selects a tomato at a market.,A man juggles tomatoes.,2098
0,"A young girl wearing a purple cap, blowing bubbles outdoors.",A little girl is painting a picture.,2107
1,A boy in a yellow shirt is looking down while a lady in a blue shirt holds a shirt up to him to see if it fits.,woman holds shirt for boy,2120
1,The skier is sliding on his side as he attempts the slalom,The athlete tries to perform a difficult task.,2121
