label,sentence1,sentence2,sample_index
1,A woman with orange hair sitting behind a table with Tye-dyed t-shirts on them.,A woman with orange hair.,4
1,A redheaded woman with a baby in a harness.,There is a baby with a redheaded female.,7
0,A boy with a cap carrying a skateboard is walking along the lip of a feature at a skate park.,A man is looking for his cat,19
1,An Asian man sitting in a boat with a wide variety of fruit around him.,A man is sitting in a boat with fruits.,21
1,Four boys are playing hockey in rollerskates while wearing blue and white safety gear.,Boys are playing hockey.,23
1,People in a pool and something just created a large splash.,There are people in the pool.,26
0,A bald man picking up a blue crap with tongs and putting it into a pot on the stove,The bald man is preparing dinner for his family.,27
0,The long black shadow casts a image on the rock while the young girl climbs the rock.,A cat is climbing a rock.,29
0,Woman riding a bike at a street fair.,A woman and her husband are riding books.,33
0,A woman wearing a plaid dress plays an instrument while standing near a tree.,A man play football in the park.,34
1,Three mounted police stand in the middle of a street.,The police are outside.,37
1,Children's soccer game being played while the sun sets in the background.,Children playing soccer while the sun sets.,40
1,Four men with beards standing up and holding white plates.,There are four men holding plates.,45
0,Two women in an office discussing something in front of an iMac.,Two women are taking a walk on a nature trail.,50
1,Girl with tattoos looking a painting.,A girl looks at a painting.,55
0,A recently married couple pose outside in their wedding clothes.,They just filed for divorce.,56
0,People play beer pong.,A group of college students studying for a test.,59
1,An overweight couple walking.,Two people are walking.,68
1,"A shirtless young man, standing under purple lighting, points to the sky with both hands while holding a microphone in one hand.",A man is holding a microphone.,69
1,The urban trolly's of a city on a sunny day.,A trolly on a sunny day.,70
1,A person is on a telephone pole in front of a building.,A person is outside,75
1,Woman with a hat on climbing a cliff near a large body of water.,A woman is outside.,78
1,Foreign man practicing his balance on a balance mat.,A human practicing.,81
1,Two men dressed in hula skirts on the back of a moving truck.,The men dressed in hula skirts.,86
0,A man is shaving his face in the mirror while a girl stands behind him and takes a picture.,a man shaves for a school art project,87
1,A little boy is eating something and got it all over his mouth.,A child is eating food.,88
1,"Two women, one in traditional Mexican clothing, help a child across the street, as a man looks on."," Two women, one in traditional Mexican clothing.",92
0,"A few girls are lined up, all wearing the same outfit, about to perform at a dance recital.",They are ready to go to bed earlier.,93
0,A guy dressed in red is approached by police.,The police sit in the doughnut shop eating.,103
1,The man in the glasses is working on a laptop computer.,A person with a laptop.,105
0,An older man tipping his hat while standing in a group of people.,The older man has white hair.,107
1,A group of guys working together to build something.,There are guys.,108
1,A child cleaning a pan in the kitchen sink.,A child is washing a pan,110
0,A girl with her leg out on a lawn.,The girl is inside laying on the sofa.,111
0,A brown dog is jumping up at another dog in front of the man in jeans.,A woman buys a new watch.,121
1,A man brushing his teeth in the mirror.,A man is brushing his teeth.,123
1,A child on the bungee ride at Brighton Pier.,A child on a ride at the Brighton Pier.,125
0,A man helping a young child rollerskate.,The man and the boy are both eating ice cream.,127
1,"As spectators watch, a man dressed in a cowboy outfit rides on the front of a long yellow tractor.",a man in a cowboy outfit rides on a yellow tractor,132
1,Two people look at a view.,There are two people.,134
1,"A person in two hooded sweatshirts, one striped and covering his head, and jeans stands facing a wall with graffiti on it.",a person in sweatshirts,139
1,A boy is attempting to climb an iron fence.,The boy is climbing the fence.,141
1,A couple walking down the sidewalk holding hands. Yo,A couple is holding hands.,142
1,"Two distant black dogs running across grass at camera, along side a path.",Two dogs are running by a path.,143
1,three woman talking under an overhang.,three woman talking,150
1,The bundled up child is playing with toys outdoors.,A child playing with toys.,153
0,A woman in a colorful top is sitting alone on a step in front of a street.,A woman sits by herself waiting for her date to pick her up.,158
0,I man with a covered face burning an israei flag in front of a crowd.,A man is arrested for burning the American flag,160
0,A man in a kayak is holding his paddle up high.,A man is in a car.,167
0,Two men posing for a picture at night.,The men are friends.,171
1,A Mexican man rides on a cart pulled by a donkey.,There is a person in a cart that's being pulled by an animal.,177
1,"Man in a blue shirt, playing musical instruments.",There's a man playing music,180
1,A child climbs into a go-kart.,A child gets in a go kart.,181
1,A woman in a striped tank top enjoys a cool beverage while taking in her surroundings.,A woman wearing a tank top.,195
1,Two small dogs play on the lawn.,Two dogs play on the lawn.,196
1,There are keys in some kind of box which is open.,A box has keys in it,197
0,"A person wearing a red, white, and blue helmet sitting on a motorcycle.",A person wearing black is driving a car.,199
0,A brown and white dog is leaping over a log near water in the snow.,The dog is sitting near a fireplace.,200
0,"There are young men playing a game of football, one man has been tackled by another player.",A young man has just been tackled by an opponent in a high school football game.,204
0,"A group of soccer players on a field, one team wearing black and blue uniforms, the other, red and white.",The players are on the bus.,225
