label,sentence1,sentence2,sample_index
1,A military branch prepare for their duties.,a child was there,0
1,A person in makeup in a traditional ceremony.,A person takes part in a traditional ritual,1
0,A man stands outside a blue building holding a white helmet.,A man is laying in a hammock that is strung between trees in his backyard.,2
1,A woman with orange hair sitting behind a table with Tye-dyed t-shirts on them.,A woman with orange hair.,4
1,A dog swimming.,The dog is in the water.,5
1,A woman who looks serious and aloof and a man wearing a strange balloon hat are crossing the street at a crosswalk.,Two people are walking outdoors.,6
1,A redheaded woman with a baby in a harness.,There is a baby with a redheaded female.,7
1,"A confrontation between two gentlemen is occurring, one wielding a guitar, the other balling a fist.",One man is holding a guitar.,9
1,A white female wearing a hooded maroon sweater carries an object across a shallow river.,The woman is outside on the water.,10
0,"Customers view items in a small store called ""Jump Shop"".",the shop is out of business,15
0,A profession baseball player pitches a ball in a baseball game.,A baseball player throws the first pitch of the game.,16
0,A boy with a cap carrying a skateboard is walking along the lip of a feature at a skate park.,A man is looking for his cat,19
1,The legs and lower bodies of people sitting and smoking.,The people are smoking.,20
1,An Asian man sitting in a boat with a wide variety of fruit around him.,A man is sitting in a boat with fruits.,21
1,Five young children chase after a soccer ball.,Children chase a ball.,22
1,Four boys are playing hockey in rollerskates while wearing blue and white safety gear.,Boys are playing hockey.,23
1,Three women wearing blue walk along a sidewalk while laughing and smiling.,Women walk together outdoors.,24
1,People in a pool and something just created a large splash.,There are people in the pool.,26
0,A bald man picking up a blue crap with tongs and putting it into a pot on the stove,The bald man is preparing dinner for his family.,27
0,The long black shadow casts a image on the rock while the young girl climbs the rock.,A cat is climbing a rock.,29
0,A young blond woman in a polka-dot outfit and black glasses sitting in a restaurant.,A young woman waits for her romantic date at the restaurant.,31
0,Two children are walking on the green grass with yellow shirts.,The two children are going off to play together.,32
0,Woman riding a bike at a street fair.,A woman and her husband are riding books.,33
0,A woman wearing a plaid dress plays an instrument while standing near a tree.,A man play football in the park.,34
1,A black and white dog running away across the grass.,The animal is running away outdoors.,36
1,Three mounted police stand in the middle of a street.,The police are outside.,37
1,Children's soccer game being played while the sun sets in the background.,Children playing soccer while the sun sets.,40
1,Four men with beards standing up and holding white plates.,There are four men holding plates.,45
1,A man holds up an electronic device while he and another male look on.,People are focused on a specific task.,46
0,Two women in a mixture of Islamic and American garb bring large boxes on a cart through a checkout line.,Three old men sit on a bench and chat.,47
0,Two women in an office discussing something in front of an iMac.,Two women are taking a walk on a nature trail.,50
1,Girl with tattoos looking a painting.,A girl looks at a painting.,55
0,A recently married couple pose outside in their wedding clothes.,They just filed for divorce.,56
0,A furry dog is running through a doorway leading to plants.,A dog runs into the house for snacks,58
0,People play beer pong.,A group of college students studying for a test.,59
1,A woman in a white dress fixes a man's suit while holding a bouquet of flowers.,A woman in a dress while holding flowers fixes a man's suit,60
0,A few bike racers riding in a straight line,People in the bike race were talking and exchanging snacks.,63
0,Four people on a balcony.,Four people are drinking on a balcony.,64
1,A smiling man wearing glasses holds a crying baby to his face.,A man is holding a young baby.,66
1,An overweight couple walking.,Two people are walking.,68
1,"A shirtless young man, standing under purple lighting, points to the sky with both hands while holding a microphone in one hand.",A man is holding a microphone.,69
1,The urban trolly's of a city on a sunny day.,A trolly on a sunny day.,70
0,"A person on a tree-lined hill, in winter, with a backpack and ski poles.",A person is riding a surfboard.,71
1,A couple dancing together while gazing into one another's eyes.,A couple are looking at each other while they dance.,72
1,A man and a woman are planting flowers.,People are planting flowers.,74
1,A person is on a telephone pole in front of a building.,A person is outside,75
1,A man in spandex maneuvers his bike over an obstacle.,a man is riding his bike,76
1,Woman with a hat on climbing a cliff near a large body of water.,A woman is outside.,78
1,Foreign man practicing his balance on a balance mat.,A human practicing.,81
0,Basketball player attempts to dunk the basketball while being surrounded by three members of the opposing team.,The player is trying to kick a field goal.,82
0,A blond baby is watching a dark-haired baby chew on a blue toy.,Two baby brothers are lying together.,85
1,Two men dressed in hula skirts on the back of a moving truck.,The men dressed in hula skirts.,86
0,A man is shaving his face in the mirror while a girl stands behind him and takes a picture.,a man shaves for a school art project,87
1,A little boy is eating something and got it all over his mouth.,A child is eating food.,88
0,A little boy in a life jacket jumping into a pool.,The little boy is naked.,90
0,Man showing a young boy an airplane.,A man shows his son an airplane.,91
1,"Two women, one in traditional Mexican clothing, help a child across the street, as a man looks on."," Two women, one in traditional Mexican clothing.",92
0,"A few girls are lined up, all wearing the same outfit, about to perform at a dance recital.",They are ready to go to bed earlier.,93
0,A boy smiles at the camera and jumps in the air over the couch.,A young boy wanted his picture taking while jumping his highest.,94
0,A dog performs a trick on a ladder in front of a crowd observing his talent.,A cat does a trick in front of a crowd.,95
1,A pitcher is getting ready to throw a ball during a baseball game.,A baseball game is being played.,97
0,"In a baseball game the batter is swinging at the ball, while the catcher patiently waits for the ball to hit his glove.",The pitcher is ready because he doesn't think that the batter will hit the ball.,100
0,A cheerful man camps out in the snow with pink flamingos.,A happy man is hanging out with his flamingo friends.,101
1,A man taking a photograph of a woman in a dress standing in front of a water source.,A woman in a dress is being photographed.,102
0,A guy dressed in red is approached by police.,The police sit in the doughnut shop eating.,103
1,Two people on dirt bikes jumping dirt ramps with several people in the background.,Two people are riding dirt bikes.,104
