label,sentence1,sentence2,sample_index
1,A redheaded woman with a baby in a harness.,There is a baby with a redheaded female.,7
0,A boy with a cap carrying a skateboard is walking along the lip of a feature at a skate park.,A man is looking for his cat,19
1,People in a pool and something just created a large splash.,There are people in the pool.,26
0,A bald man picking up a blue crap with tongs and putting it into a pot on the stove,The bald man is preparing dinner for his family.,27
0,The long black shadow casts a image on the rock while the young girl climbs the rock.,A cat is climbing a rock.,29
0,Woman riding a bike at a street fair.,A woman and her husband are riding books.,33
1,Four men with beards standing up and holding white plates.,There are four men holding plates.,45
0,A recently married couple pose outside in their wedding clothes.,They just filed for divorce.,56
1,"A shirtless young man, standing under purple lighting, points to the sky with both hands while holding a microphone in one hand.",A man is holding a microphone.,69
0,A man is shaving his face in the mirror while a girl stands behind him and takes a picture.,a man shaves for a school art project,87
0,"A few girls are lined up, all wearing the same outfit, about to perform at a dance recital.",They are ready to go to bed earlier.,93
1,A group of guys working together to build something.,There are guys.,108
0,A girl with her leg out on a lawn.,The girl is inside laying on the sofa.,111
0,A brown dog is jumping up at another dog in front of the man in jeans.,A woman buys a new watch.,121
0,A man helping a young child rollerskate.,The man and the boy are both eating ice cream.,127
1,Two people look at a view.,There are two people.,134
1,"A person in two hooded sweatshirts, one striped and covering his head, and jeans stands facing a wall with graffiti on it.",a person in sweatshirts,139
1,The bundled up child is playing with toys outdoors.,A child playing with toys.,153
0,A woman in a colorful top is sitting alone on a step in front of a street.,A woman sits by herself waiting for her date to pick her up.,158
0,People are standing in a room with a television that has a picture of a boat on the water.,A family watching Gilligan's island,228
0,A young black man is having a conversation with a young black woman from his balcony.,The man and woman are brother and sister.,233
1,"A man in a suit carrying a briefcase walks on a sidewalk, near a puddle reflecting the image of a building.",A man walks near a building.,237
0,A man in a blue headband plays tennis.,A man in a red headband is playing football.,257
1,People walking their dogs along a riverbank.,People with their dogs near a river.,263
1,A boy is upside down in midair near a lake at sunset.,A boy is outside.,264
1,A person is abseiling down a rock face attached to a rope.,There is a person outdoors,280
0,A bunch of women in a library with kids.,The women are in a spa.,282
0,A baseball player hitting a home run.,the cat eats sheep,308
0,"The children are playing outdoors, while a man smiles nearby.",The kids are stealing from a store.,363
0,Two men sit at table at a conference given answers as the questions are called out.,Two women sunbathing at a beach,377
0,"A young girl in sunglasses, poses for the camera.",A girl is sleeping on the couch.,385
1,A group of girls in skirts outside holding hands.,the girls are holding hands,397
1,A very young boy is looking at a piece of candy.,There is candy near the boy.,398
1,A lone man sits in a boat in a cave with a group of people watching nearby.,A man is in a boat.,402
0,A man in a black shirt crosses a street with a guitar on his back.,The man is going to a club.,403
0,A little girl in pink and purple stands on a playground.,A little girl is in a hospital bed.,411
0,A man in a band is singing while wearing a very loud shirt.,A man is sleeping in a chair.,448
0,A woman walks by a river across city buildings.,a woman walking while on lunch,458
1,A young child plays with his new light-up toy.,A child plays.,461
0,Three firemen wearing yellow suits one pointing up.,four firemen are buying groceries.,481
1,A person standing outside an old building with headphones on.,A person is near a building.,488
1,A young lady plays the harpsichord while signing into a microphone.,There is someone playing a musical instrument.,489
0,A motorcycle is lying on the ground near a fire engine.,This motorcycle will never roll again.,490
1,"Three men playing soccer, their uniforms indicating that one of them is from one team and the other two from the other, are all after the ball.",Three people are playing sports.,497
0,Nurses stand around a cart looking at a ball and other objects.,the cat eats chips,509
0,A large group of people explore around a rock structure.,A group of people are seeing a movie in the theater.,514
0,A fat white boy in a tank top swings at a checkered black and white punching bag at a carnival while people look on and walk by in the background.,The boy is swinging at a friend.,528
1,A young baby crawls across the wood floor towards the water bottle.,A baby is crawling,534
1,"An artist is working on his very contemporary looking piece of art, and is focusing very intensely on the work at hand.",an artist is working,538
0,Three monks walking in what looks to be a foreign country in appropriate black robes and sandals.,The monk is asleep in the middle of the disco floor.,550
0,A person riding a bike in the dirt.,A man is racing his car.,551
0,Have a quick chat and smoke break.,People are running in a marathon for lung cancer awareness.,573
0,"A man in a black hat, sunglasses and sweatshirt is playing the harmonica.",The man in the black hat is eating a hot dog.,579
0,A young boy poses for the camera at an amusement park while riding a ride.,A boy is surprised by the camera photo as he is screaming on a rollercoaster.,583
1,Three adults wearing cold weather gear.,Three adults are wearing gear.,602
1,"A child in a yellow jacket gazes at something he holds in his hand, which he has lifted from among a set of boxes of items arranged on a table in front of him.",A child is in a yellow jacket.,619
1,A little girl is pushing her scooter through a grassy tree lined field.,A girl is outdoors.,621
0,"A woman in a black shirt, jean shorts and white tennis shoes is bowling.",A woman is bowling with a pink bowling ball.,628
1,A man wearing a blue and white uniform clutching two yellow ski handles.,A man in uniform is holding ski handles.,652
0,Man in suit jacket and tie walking.,A man in a suit jacket is sleeping on the bus.,657
1,Two men wearing hats are shown at the front of a crowd of people.,There are two men in front of the crowd.,687
1,"A group of people, several of which are wearing fuzzy pink antennae.",A group of people are wearing antennae.,688
0,A girl in very interesting shoes and a blue dress walks down the street.,A girl is walking down the street to her friends house.,693
0,A man in blue is in the top balcony looking down.,the guy looks down from the balcony at his wife,702
1,The two dogs are running toward the camera.,There are two dogs.,705
0,A group of people gathering in front of a clothing store.,A bunch of people are sitting inside a restaurant.,711
0,"A girl in a striped shirt is drinking from a bottle, while a girl behind her talks on a cellphone.",The girl talking on the phone is the big sister of the girl in the striped shirt.,712
0,A group of people riding horses in green vests.,Some people are having lunch.,720
1,"A group of men, one with a bike, on a dock with tires and a rope.","A group of men, one with a bike, on a dock",722
0,A hot girl talking to her friends while walking.,The pretty girl never has to pay for a thing.,728
1,Man with a camouflage hat is throwing knives at a target.,a man is throwing knives,743
0,two motorcyclists riding tandom on a biek down the street.,Two friends sit in a cafe drinking coffee.,753
1,A skier is skiing down a mountain wearing goggles and a red anorak.,A skier skiing.,766
1,People stand outside near a concrete wall and a window.,People are outside.,777
1,A man is popping balloons inside a cubicle using a handmade tool.,A man is popping balloons inside a cubicle using a tool.,784
1,A city street with cars parked by the meters and people walking and congregating under a pavilion type area.,A city street with cars and people on it.,817
0,A football player folding a football during a game in the mud,The girl eats pie.,820
1,A man wearing a leather jacket and a bandanna approaches a parked motorcycle outside of a building.,a man in a jacket,827
