label,sentence1,sentence2,sample_index
1,A person in makeup in a traditional ceremony.,A person takes part in a traditional ritual,1
1,A woman with orange hair sitting behind a table with Tye-dyed t-shirts on them.,A woman with orange hair.,4
1,A dog swimming.,The dog is in the water.,5
1,A redheaded woman with a baby in a harness.,There is a baby with a redheaded female.,7
1,"A confrontation between two gentlemen is occurring, one wielding a guitar, the other balling a fist.",One man is holding a guitar.,9
0,A woman is standing by a metal fence looking at something.,A woman sitting by a wood fence.,11
0,An individual in jeans and a hoodie is sitting outside while tinkering with his bicycle.,A person is working.,13
0,A profession baseball player pitches a ball in a baseball game.,A baseball player throws the first pitch of the game.,16
1,An Asian man sitting in a boat with a wide variety of fruit around him.,A man is sitting in a boat with fruits.,21
1,Five young children chase after a soccer ball.,Children chase a ball.,22
1,A lady holds a little boy while another little boy smiles at them.,A woman with two boys.,38
1,Children's soccer game being played while the sun sets in the background.,Children playing soccer while the sun sets.,40
1,Men and women are demonstrating how to use workout equipment while being filmed.,People demostrate how to use workout equipment.,54
1,Girl with tattoos looking a painting.,A girl looks at a painting.,55
1,A woman in a white dress fixes a man's suit while holding a bouquet of flowers.,A woman in a dress while holding flowers fixes a man's suit,60
0,Four people on a balcony.,Four people are drinking on a balcony.,64
0,A smiling man plays with a baby.,A smiling woman plays with a baby.,67
1,A couple dancing together while gazing into one another's eyes.,A couple are looking at each other while they dance.,72
1,A man and a woman are planting flowers.,People are planting flowers.,74
0,Stargazer in a leather jacket prepares to gaze at the evening sky.,Stargazer in a leather jacket prepares to gaze at the morning sky.,77
1,Woman with a hat on climbing a cliff near a large body of water.,A woman is outside.,78
0,The mountains in the distance are wooded and snowy.,The mountains have an altitude of over 5200 feet.,89
0,A boy smiles at the camera and jumps in the air over the couch.,A young boy wanted his picture taking while jumping his highest.,94
1,A pitcher is getting ready to throw a ball during a baseball game.,A baseball game is being played.,97
1,A group of young people are standing and sitting around a table eating and drinking with one another.,The people are having a meal.,98
1,The man in the glasses is working on a laptop computer.,A person with a laptop.,105
1,Two kids eat corndogs outside.,The children are snacking.,116
1,A man climbs up a cliff and reaches an overhang.,A rock climber goes up a cliff.,117
1,A child on the bungee ride at Brighton Pier.,A child on a ride at the Brighton Pier.,125
0,A young boy is walking across a pipe that runs across water.,The boy is on a sewer pipe.,126
1,A girl with a ponytail in a black soccer uniform prepares to kick the ball.,A player gets ready to kick the ball.,130
1,The small dog wearing a tutu stands on its hind legs.,There is a dog standing on his legs,133
1,The young father was wearing his orange shirt while his daughter walked barefoot in the soft mossy grass.,"A young father was in orange shirt, at the same time his daughter was enjoying a walk on the soft mossy grass with barefoot",137
0,A group of bicyclists ride up the street.,A group of bicyclist ride down a hill.,140
1,A boy is attempting to climb an iron fence.,The boy is climbing the fence.,141
1,"A man wearing a black t-shirt, with a black bandanna on his head, dark glasses and a beard is playing an electric guitar outdoors with a microphone in front of him, while another man in a gray hat and purple shirt is behind him along with a drum set, and two other guitar players are partially visible on either side.",A music band is performing.,145
0,Three sailboats float on calm water in front of hills and palm trees.,A couple of boats being disposed of at the junk yard.,147
0,A group of individuals in front of computers look at the front of the room.,Students in a computer lab,148
1,The bundled up child is playing with toys outdoors.,A child playing with toys.,153
1,"A carver bent over a statue holding a chisel and a carving hammer of sorts, wearing a black work shirt and safety goggles.",The carver is holding a chisel.,154
0,A asian man dressed in a red suit is playing on stage with his eyes closed.,the man is naked,155
0,A woman in a colorful top is sitting alone on a step in front of a street.,A woman sits by herself waiting for her date to pick her up.,158
1,A large group of asian people are crowding around some sort of float at some sort of festival.,More than one Asian person is outside at an event.,161
1,Beautiful girl opening a Christmas present with two dogs at her feet.,Beautiful girl opening a Christmas present,162
1,A female figure skating in a black leotard.,A woman is ice skating.,163
1,Cement truck with a yellow mixer parked in front of a building.,A truck is next to a building,189
1,A man wearing a black shirt sings in a band.,The singer at the concert is wearing black.,190
1,There are keys in some kind of box which is open.,A box has keys in it,197
1,Four shirtless men hike up a canyon.,Four men are outdoors.,202
0,"There are young men playing a game of football, one man has been tackled by another player.",A young man has just been tackled by an opponent in a high school football game.,204
0,A lady wearing a celebratory bug dress,The women is ata gallery opening.,206
0,"A young boy hold a blue bucket, as it fills with water.",A bucket is filling with water,207
0,A woman and a man twirling in a dance alone on a wooden floor.,A couple dance on a crowded floor.,213
0,"Two young men, one wearing a black shirt and the other wearing a white shirt, are looking at papers on a table.",The two men are trying to design a building.,224
0,"A group of soccer players on a field, one team wearing black and blue uniforms, the other, red and white.",The players are on the bus.,225
0,A man wiping the snow off his car with a large brick house in the back.,The man is trying to use his car to get to work.,226
0,A young man in blue and one in burgundy are in a wrestling competition.,the rocks were hard,232
0,A woman wearing a green shirt is attending cosmic bowling at the MonsterBowl.,A woman in green shoes leaves the bowling alley.,235
1,"A Girl Wearing Boots, Is Sitting On A Rock Near a Pond.",Someone sits near water.,236
1,"A man in a suit carrying a briefcase walks on a sidewalk, near a puddle reflecting the image of a building.",A man walks near a building.,237
0,A man with a tattoo on the left side of his left leg plays a drum set while sitting under yellow lights.,The man has more than one tattoo.,241
0,"A man wearing a white cap, sunglasses, and red vest is playing a gold sousaphone.","A man, completely nude, plays a gold sousaphone.",243
0,One of the three friends tried to describe what he saw using only his hands.,The man has no hands,246
1,A family sitting on rocks posing for the camera.,The people are related.,249
0,A girl is sleeping on top of a book in a library full of books.,A girl falls asleep in her bed.,255
1,A bearded man with a cigarette stares at a potted plant.,A man is holding a cigarette.,258
0,A young man is taking pictures of two friends next to the ocean.,Two people posing for a photo shoot.,260
1,Bicyclers riding in a single file line.,People sitting on bikes.,261
0,The black cup sitting on the black saucer resembles a top hat.,the cup is red,262
1,A boy is upside down in midair near a lake at sunset.,A boy is outside.,264
0,An older man in a red vest and blue cap is walking with a cane carrying a white bag.,The man is wearing green shorts.,269
1,A man with a white shirt and tattoo sits inside an ice cream stand covered with pictures of delicious treats.,A man sits inside an ice cream stand covered with delicious treats pictures.,271
0,Two indian men wearing white are playing instruments on a padded mat.,Two men are wearing white hats.,277
1,A person is abseiling down a rock face attached to a rope.,There is a person outdoors,280
1,A woman in a coat and a man in a tracksuit talking on a phone cross the street.,Two people cross the street.,281
0,A bunch of women in a library with kids.,The women are in a spa.,282
0,A man in uniform tries to find something with the help of a sniffing dog.,A woman walks by the man in uniform.,285
1,Several men and women stand in front of a yellow table that is covered in piles of potatoes.,A pile of potatoes sits on a yellow table.,294
1,A young girl is giving a young boy who has a ring bearer's pillow a kiss.,A little girl gives a ring bearer a kiss,301
0,A middle-aged woman is repairing a part under the hood of her car.,A woman is a professional mechanic.,302
0,Two men on opposite teams playing basketball.,Two baseball players shaking hands,306
1,A man and a woman are sitting next to each other on a bench outside.,A woman and man on a bench.,313
1,"A young black boy with a striped shirt, black shorts and black rain boots laying on a row of yellow street barriers.",A boy lays on some street barriers,317
1,A boy rides down a slide into a small backyard pool.,There is water in the pool,329
0,Someone is hang gliding or parachuting down by a large body of water with green hills all around.,A person crash landing on a hang glider toward a small pound surrounded by green hills in the woods.,338
1,"Woman looking at her phone, standing by a painted wall blocked by a tree.","There is a woman looking into her phone, standing next to a tree.",340
1,A young boy shoots a basketball into a hoop.,A young boy is playing with a basketball,341
0,A group fathers in folding chairs and drinks some beers in the backyard.,The fathers likes each other.,342
0,Several motorcycles are parked on one parking space.,Several motorcyles of the local Hells Angel's are parked at the only available parking space.,343
1,Two dogs running down a dirt road.,Dogs are off their leash outside.,345
0,A woman lying down on a skateboard knocks down some rainbow colored bowling pins.,A pretty woman lying down knocks over some pins.,352
1,A group of people take a look at an unusual tree.,group of people outdoors looking at a tree,359
1,A professional wheelchair race with a clear leader in lane 6.,a professional wheelchair race,361
1,A man tosses a soccer ball in the air on the beach at sunset while boats go by in the distance.,A man was on the beach.,362
0,"The children are playing outdoors, while a man smiles nearby.",The kids are stealing from a store.,363
0,Children watch two boys playing a video game.,Kids are watching boys playing video games to learn.,364
0,A young woman seated in a freshly mown hayfield is blowing seeds from a bunch of dandelions.,A young lady is enjoying the grass on a sunny day.,365
1,Two dark-haired girls are on a tire swing.,Two girls are outside playing.,369
1,A man is mowing the lawn of a house shirtless.,A man is mowing the lawn.,370
0,A woman in black jeans sits on the railing of a bridge with a harbor in the background.,The woman is wearing blue jeans.,374
0,Two men sit at table at a conference given answers as the questions are called out.,Two women sunbathing at a beach,377
1,"An Asian chef is in the foreground, working over a steaming grill while a younger man is behind him.",A chef is preparing food on a grill near a younger man.,384
1,Female child walking on the beach wearing an elmo shirt.,Female child walking on the beach,390
1,A blond-haired boy is at the bottom of a slide.,The child is at a playground.,391
0,A young child is petting an animal.,A little boy is grabbing a dog's coat playfully.,392
1,Hang glider on beach,air sport on beach,395
1,A very young boy is looking at a piece of candy.,There is candy near the boy.,398
0,A dark-haired boy and dark-haired girl stand on the grass.,The humans are upside down.,399
1,A bicyclist is in midair on a cloudy day.,A person is riding a bike.,404
0,An african family are standing in front of some makeshift houses.,An African family are playing soccer.,405
0,A man in a helmet is riding a bike.,The man is not wearing any protective gear.,406
0,A girl and a little boy are looking through a camera.,adults at work,407
1,A young woman with blue jeans and a black tank top is walking down the sidewalk screaming and clutching her chest.,There is a human on a road.,412
0,"A man in an orange shirt and a man in a white shirt are at a vegetable stand, and the man in the orange shirt gives a woman wearing red some vegetables.",The two men are waiting on the bowl of Fruit Loops to get done.,417
1,The drag racers take off the starting line.,The racers are in cars.,419
0,A bull terrier terrorizes an old tire in the sand.,The dog is a poodle.,423
1,This man is jumping up in the air on a rock bridge.,There is a man jumping in the air.,424
0,Two men in yellow safety vests and hard hats are working on a piece of heavy machinery.,Two people building a house,431
0,Woman being given a palm reading by a female psychic while two other women wait inside of a small shop.,A group of skiers go down a mountain,441
0,A man in a band is singing while wearing a very loud shirt.,A man is sleeping in a chair.,448
1,"Two men, one in black, one in green and denim, on a dance floor.",The men are on the dance floor.,454
0,This small boy is eating color ice creme in the stick.,Person eating ice cream.,456
0,A woman walks by a river across city buildings.,a woman walking while on lunch,458
1,A young girl is holding her teddy bear while riding a pony.,A young girl holds her teddy bear.,459
0,"Three males with cameras near each other, two sitting and the third standing, in what might be a park during a sunny day.",Three birdwatchers in the park with cameras to take photos of birds they see.,460
1,A girl in a gray t-shirt walking with shopping bags.,A girl walking with her purchases.,464
1,A little girl enjoying a frozen treat on the beach.,A girl is eating a frozen treat.,466
0,Uniformed men walking down gravel pathway.,Men are building a tree house.,475
0,Three firemen wearing yellow suits one pointing up.,four firemen are buying groceries.,481
0,Two men with guitars are walking away from the beach.,The men walk away,482
1,"A person paints a photo of a dog, based on a photo of a dog.",A person paints a dog based on a photo.,484
1,A person standing outside an old building with headphones on.,A person is near a building.,488
0,"A group of people and a dog sit in the bleachers of a basketball court, watching another group of people's performance on the court.",Some people and a dog are in the gym.,499
1,People sit outside a building.,People are sitting.,502
1,Two women carrying grain on their head.,Two women use their heads for transporting grain.,504
1,There is a middle-aged lady who is performing with 2 fans in her hand and a lot of makeup on her face.,The woman is performing.,512
0,A large group of people explore around a rock structure.,A group of people are seeing a movie in the theater.,514
1,A woman in a black sundress and carrying a purple purse strides down a sidewalk.,The woman is walking.,521
0,A girl in dark blue baseball uniform throws a ball while two other baseball players runs around.,A girl in a blue baseball uniform pitches a ball to home plate while two other runners steal bases,522
0,A woman sits on a gray bench beside a bottle.,The woman sits on a rug.,523
1,A woman wearing nave and black clothing is sitting on a window seal eating a sandwich.,A woman is sitting and eating a sandwich.,525
0,Man setting up a white tent.,A man has a tent in the woods.,526
0,The girl in the jacket is on the cement with a sucker in her mouth and a bike to the right.,The girl is about to ride her bike.,529
1,A young kid is jumping in a puddle.,The child is jumping in the puddle.,536
0,A woman and a child with a backpack walk down a city street towards a group of men.,A woman and her child walk towards the group of women.,537
0,Construction workers working on a highway at night as people look to see what they are doing.,Construction workers are working at night on a six-lane highway.,539
0,"Two people in colorful clothes are standing in a field, bent over to look at the ground.",Two people in rainbow shirts are bent over.,541
0,Four male musicians and one female musician are playing instruments outside a house.,Five people are sitting inside.,542
0,A man is dressed in a black shirt while balancing a round object on the back of his hand.,The man is a performer.,545
1,"A man jogs down a city street, with a line attached to his back that vanishes out of the left side of the picture; a smiling cyclist rides past.",there is a man jogging on the street,546
0,Two boys kick around a ball in a meadow.,Some children are playing soccer outside.,552
0,"A man, wearing an orange hard hat, standing on top a pile of bricks and rubble.",A man works on a demolition site.,556
1,A man is standing up holding a green bowling ball with his right hand.,A man is bowling.,559
0,"a man wearing a blue shirt, standing on the railroad is taking picture of the bridge.",He is on the bridge.,560
1,Women with short skirt standing on sidewalk.,A woman is standing on the sidewalk.,562
1,A man in an Ozzy t-shirt looks at his breakfast of poached eggs and toast with coffee on the side.,A man is eating breakfast,569
1,Three people pose with their political signs out in public.,Three people are in public posing with their political signs.,571
0,A group of men are filming in a dingy street setting.,A group of men are playing an arcade game.,572
0,Two men not looking at pictures.,Two men looking at pictures.,574
1,A man walks out of the waves with his surfboard.,the man is wet.,575
1,A man in a hat is posing for a photo with a white donkey pulling a wagon.,A man is outside.,580
0,"A group of nine people viewing a city, from an observation point, while some take pictures.",There are only 3 people.,581
0,A young boy poses for the camera at an amusement park while riding a ride.,A boy is surprised by the camera photo as he is screaming on a rollercoaster.,583
0,A man drives a roller during road construction with another man in the background.,The man is asian.,587
0,Young boy next to a bike that's turned upside down is handling a socket wrench set that is set next to the bike.,The boy is riding his bike,593
1,A stage performance appears to lead to violence while the band plays on.,A band playing music while fighting happens.,595
1,Cheerleaders show symmetry as they prepare to perform.,Cheerleaders are preparing a routine to perform.,597
0,a women's beach volleyball game,Women play volleyball in the gym.,600
1,2 women are standing in a street playing a blue guitar and a violin.,Two women are playing instruments in the street,606
0,A dog swims holding a tennis ball in its mouth.,A black lab swims holding a tennis ball.,608
1,A black dog runs with a red bucket.,dog runs with bucket,610
0,Two men in white suits play the guitar on a stage.,The duo is a famous musical act.,612
1,Someone explaining an instrument.,Someone is teaching something.,614
1,"A child in a yellow jacket gazes at something he holds in his hand, which he has lifted from among a set of boxes of items arranged on a table in front of him.",A child is in a yellow jacket.,619
0,A gray dog jumps to bite a green leash.,A gray dog happily jumps,629
1,A child runs barefoot across a blacktop parking lot.,A child running on the parking area,630
1,A woman is standing in a white truck singing while people watch her.,The woman in truck sings for the people.,631
0,A black and white dog is jumping over a fence in an obstacle course.,A black and white dog is playing in an obstacle course,632
1,A man running on a treadmill while listening to music.,A man running on a treadmill.,634
0,A barefooted boy on an uncrowded beach.,A boy is chasing a dog on the sidewalk.,635
0,Man using a loom to make something.,A man is making a bracelet with a loom.,638
1,A group of Asian people shading their eyes and looking past the camera at something.,A group of Asians are looking at something that has caught their eyes.,639
1,An unhappy looking girl wearing a pink skirt and a boy with a white t-shirt are sitting on a couch.,Two children are sitting on a couch.,645
1,A crowded city square being entertained by street performers.,The performers are outside.,646
1,A woman with a gray shirt and dirty white apron works with wood.,A woman completing chores outside.,651
0,Several people are gathered around a monitor in a dimly lit room.,They are watching a vide,659
0,The mother and child have a personal moment in the yard.,A woman is playing with her child in the yard.,660
0,Four women are posing for a picture.,There is four men posing for a picture.,661
