label,sentence1,sentence2,sample_index
1,A woman with orange hair sitting behind a table with Tye-dyed t-shirts on them.,A woman with orange hair.,4
1,A dog swimming.,The dog is in the water.,5
1,"A confrontation between two gentlemen is occurring, one wielding a guitar, the other balling a fist.",One man is holding a guitar.,9
1,Girl with tattoos looking a painting.,A girl looks at a painting.,55
0,Four people on a balcony.,Four people are drinking on a balcony.,64
0,Stargazer in a leather jacket prepares to gaze at the evening sky.,Stargazer in a leather jacket prepares to gaze at the morning sky.,77
0,A boy smiles at the camera and jumps in the air over the couch.,A young boy wanted his picture taking while jumping his highest.,94
1,A group of young people are standing and sitting around a table eating and drinking with one another.,The people are having a meal.,98
1,A man climbs up a cliff and reaches an overhang.,A rock climber goes up a cliff.,117
1,A child on the bungee ride at Brighton Pier.,A child on a ride at the Brighton Pier.,125
0,A young boy is walking across a pipe that runs across water.,The boy is on a sewer pipe.,126
1,The small dog wearing a tutu stands on its hind legs.,There is a dog standing on his legs,133
1,The young father was wearing his orange shirt while his daughter walked barefoot in the soft mossy grass.,"A young father was in orange shirt, at the same time his daughter was enjoying a walk on the soft mossy grass with barefoot",137
1,"A carver bent over a statue holding a chisel and a carving hammer of sorts, wearing a black work shirt and safety goggles.",The carver is holding a chisel.,154
1,A large group of asian people are crowding around some sort of float at some sort of festival.,More than one Asian person is outside at an event.,161
1,Cement truck with a yellow mixer parked in front of a building.,A truck is next to a building,189
1,A man wearing a black shirt sings in a band.,The singer at the concert is wearing black.,190
1,There are keys in some kind of box which is open.,A box has keys in it,197
1,Four shirtless men hike up a canyon.,Four men are outdoors.,202
0,A lady wearing a celebratory bug dress,The women is ata gallery opening.,206
0,"Two young men, one wearing a black shirt and the other wearing a white shirt, are looking at papers on a table.",The two men are trying to design a building.,224
0,"A group of soccer players on a field, one team wearing black and blue uniforms, the other, red and white.",The players are on the bus.,225
0,A young man in blue and one in burgundy are in a wrestling competition.,the rocks were hard,232
0,A woman wearing a green shirt is attending cosmic bowling at the MonsterBowl.,A woman in green shoes leaves the bowling alley.,235
1,A family sitting on rocks posing for the camera.,The people are related.,249
0,A girl is sleeping on top of a book in a library full of books.,A girl falls asleep in her bed.,255
0,A young man is taking pictures of two friends next to the ocean.,Two people posing for a photo shoot.,260
0,The black cup sitting on the black saucer resembles a top hat.,the cup is red,262
1,A young girl is giving a young boy who has a ring bearer's pillow a kiss.,A little girl gives a ring bearer a kiss,301
0,A middle-aged woman is repairing a part under the hood of her car.,A woman is a professional mechanic.,302
1,Two dogs running down a dirt road.,Dogs are off their leash outside.,345
0,Children watch two boys playing a video game.,Kids are watching boys playing video games to learn.,364
1,"An Asian chef is in the foreground, working over a steaming grill while a younger man is behind him.",A chef is preparing food on a grill near a younger man.,384
1,A blond-haired boy is at the bottom of a slide.,The child is at a playground.,391
1,Hang glider on beach,air sport on beach,395
1,A bicyclist is in midair on a cloudy day.,A person is riding a bike.,404
1,A young woman with blue jeans and a black tank top is walking down the sidewalk screaming and clutching her chest.,There is a human on a road.,412
0,"A man in an orange shirt and a man in a white shirt are at a vegetable stand, and the man in the orange shirt gives a woman wearing red some vegetables.",The two men are waiting on the bowl of Fruit Loops to get done.,417
1,The drag racers take off the starting line.,The racers are in cars.,419
1,A little girl enjoying a frozen treat on the beach.,A girl is eating a frozen treat.,466
1,People sit outside a building.,People are sitting.,502
1,Two women carrying grain on their head.,Two women use their heads for transporting grain.,504
1,There is a middle-aged lady who is performing with 2 fans in her hand and a lot of makeup on her face.,The woman is performing.,512
0,A woman sits on a gray bench beside a bottle.,The woman sits on a rug.,523
1,A young kid is jumping in a puddle.,The child is jumping in the puddle.,536
0,A woman and a child with a backpack walk down a city street towards a group of men.,A woman and her child walk towards the group of women.,537
0,Construction workers working on a highway at night as people look to see what they are doing.,Construction workers are working at night on a six-lane highway.,539
1,A man is standing up holding a green bowling ball with his right hand.,A man is bowling.,559
1,A man in an Ozzy t-shirt looks at his breakfast of poached eggs and toast with coffee on the side.,A man is eating breakfast,569
0,Two men not looking at pictures.,Two men looking at pictures.,574
1,A man in a hat is posing for a photo with a white donkey pulling a wagon.,A man is outside.,580
0,a women's beach volleyball game,Women play volleyball in the gym.,600
1,2 women are standing in a street playing a blue guitar and a violin.,Two women are playing instruments in the street,606
0,A barefooted boy on an uncrowded beach.,A boy is chasing a dog on the sidewalk.,635
0,Man using a loom to make something.,A man is making a bracelet with a loom.,638
0,Several people are gathered around a monitor in a dimly lit room.,They are watching a vide,659
1,Two children play a game together.,Two people are playing a game.,663
1,Two Japanese actors wearing masks and colored costumes in front of an audience.,An audience watches two actors who are wearing masks and colorful outfits.,666
1,A family picnics in a park with a greenhouse in the background.,The family is having a picnic together at the park.,667
1,A lady in a beautiful outfit with a name tag.,the woman is clothed,671
0,Two black dogs playing in the grass.,Two dogs are playing together.,698
0,Two groups of swimmers wade out.,two groups of swimmers are competing,699
0,People picking up trash in the park.,Dolphins jump through rings of fire.,716
1,A man holds a small child.,The child is small,717
0,A hot girl talking to her friends while walking.,The pretty girl never has to pay for a thing.,728
0,"A few men are shown flipping in the air, upside down, as a result of using a contraption that is on their legs.",guys play with super pogo sticks,760
1,a woman running in a race while onlookers cheer her on,A woman is running.,769
1,A dog standing in the shallow part of the ocean while the waves splash around.,dog standing among waves in the ocean,770
1,A short-haired woman in a dimly lit room is holding a microphone.,A woman is holding a microphone,775
1,A man is popping balloons inside a cubicle using a handmade tool.,A man is popping balloons inside a cubicle using a tool.,784
0,Two children in swimwear play volleyball at a beach side court.,"Near the beach, two girls are playing volleyball.",793
1,Someone is about to ride a motocross bike down the hill.,Someone is getting to ride a bike.,814
1,A little league football game is underway in a suburban neighborhood.,There are children playing football.,823
0,A man in a black shirt stares at a swordsman,A man in a black shirt is running from a swordsman.,825
1,A man wearing a leather jacket and a bandanna approaches a parked motorcycle outside of a building.,a man in a jacket,827
0,A small group of people are at a rollerskating rink.,A group of people are tying roller skates on at a rollerskating rink.,830
0,A wakeboarder in the ocean is in the middle of a flip.,The wakeboarder is practicing for a tournament.,846
0,The photo looks down on a street where five pedestrians are walking.,The photograph is shot by a female.,851
0,A woman dancer in a black tutu and nude hose dances with her arms over her head in front of a darkly painted background with dried leaves on the floor.,The woman is a ballet dancer,853
0,A man wearing a green numbered shirt is sitting in a stadium.,A man roots for his favorite player at the sports game,854
1,"A young boy in a red ""U.S.A."" t-shirt plays with a toy circuit board kit.",A boy is playing with a circuit board kit.,860
1,a dog jumps for the Frisbee the girl is holding.,A dog jumps for the Frisbee the person is holding.,863
1,A woman is swimming with her three young children.,The people are in the water,876
1,A little girl holds a red balloon in front of a doorway.,There is a person in close proximity to a man-made structure.,878
1,Snowboarder in a striped shirt going off a ramp in front of a crowd.,It is snowing,918
0,"A woman in a white baseball hat reveals her tan line to her friend, who wears a sunhat",The woman is tired,922
0,An older man with wild hair is checking out motorbikes.,The motorcycles are for sale.,924
0,A woman is looking down and wearing a white hair piece that looks like a wedding veil.,A woman is getting married.,928
1,A man with a dog is seated at the base of a statue.,The man and the dog are by the statue,950
0,Marathon runners run down a one way street.,Runners race down a street that has been blocked off from traffic.,953
0,A person walking by buildings and cars.,A person is walking to the store.,956
1,A man is jumping on a sheet of ice near a lake with a video camera in his hand.,A man is outside near a frozen lake creating holes.,980
0,A little girl in a white jacket holding a piglet toy.,The little girl is holding a toy car.,984
0,Three dogs running through water.,Three dogs are running in the creek at the park.,995
1,A boy in a blue shirt plays the cello while a girl plays a drum.,Some people are playing music.,1015
1,bull riding with people watching,There are people watching the bulls.,1016
0,Two yellow dogs play in a green plastic pool.,The dogs are trying to cool off.,1021
0,A girl with a bucket of water is being chased by a boy with a bucket of water.,The children are tossing water balloons.,1028
1,Two people are standing on a cliff,"There are two people in this picture, and they are both outside.",1045
0,"A man hangs on to a strand of cloth with his big toe, his fingers and his teeth while standing on a platform by a river.",The man wrapped in cloth has fallen into the river.,1059
1,This man's dog looks surprised.,A man's dog is shocked.,1060
0,"A crowded street, in an Asian country, where the buildings are dominated by the Seiko building.",The crowds are at an indoor swimming meet.,1062
0,Two little girls eating some food on some steps.,Two little girls eating some carrots on some steps.,1063
0,"Two teams, one wearing green, one wearing red, playing a game of soccer.",The teams are playing a practice game.,1065
1,One dog is jumping into a pool while another runs along side the pool's edge.,Two dogs are active near a pool.,1066
0,A foreign family is walking along a dirt path next to the water.,A family of foreigners walks by the lake.,1069
1,The Amsterdam tourist information office and people walking by.,people walking by,1077
0,A man climbing a cliff with a forest in the background.,dog chased by lion,1081
1,A furry brown dog carries his toy in mouth outside.,A dog has a toy.,1120
0,A dog is running in the ocean beside the beach.,The dog is running and swimming.,1122
1,"A man, wearing a helmet, biking though grass and dirt.",A man biking.,1148
1,A parade of people wearing blue waistcoats and white t-shirts proceeds down the center of a street.,There are a bunch of people walking on a street,1150
0,A birds-eye view of a sidewalk with many people.,A view of the street with many cars.,1154
1,The two man is busy cementing the road.,men cementing road,1167
0,A man on a bicycle sits at a stoplight with headphones on.,A man is performing a stunt on a moped.,1184
1,A young polo player wearing an orange jersey riding a horse.,a polo player rides,1191
1,A group of tourists aboard a small and colorful boat in the waters of a Southeast Asian country.,The tourists are outdoors.,1202
1,A soccer player catches the ball and is tackled.,The soccer player caught the ball.,1214
0,A child is making a ridiculous face with an open mouth on the swings.,A child is making silly faces and noises as they swing high up into the air.,1218
1,Firefighters respond to the scene of a motorcycle accident.,Firefighters are working at an accident.,1248
1,A young girl is writing on a piece of paper with a purple pencil.,A girl writes on a piece of paper.,1252
0,A man is carefully skiing down a snow covered hill wearing a backpack.,The man runs down the ski path and into a tree.,1256
0,Metal worker in protective gear and welding face mask works on weld.,The metal worker is putting away his gear,1267
1,A man with a white guitar plays with another in a striped shirt.,A guy is playing guitar.,1276
0,Two people sit on a well kept stone path that overlooks a large body of water.,Two people are taking pictures on the well.,1291
0,An elderly Asian woman with a cane walking in front of several yellow and white flowered reefs.,An old woman sits on a bench.,1296
1,A person reads to a group of boys.,"There are multiple people, at least some of whom are male.",1306
1,"A boat is just off the beach with three people standing on it, and the two people loading something on the boat.",a boat off the beach,1324
0,Two policemen in yellow and black uniforms are riding bikes.,The policemen are wearing vests.,1331
1,Two men having an intense discussion over drinks.,People are inside.,1342
1,a man wearing ear defenders is shooting a pistol at a white target.,a man shooting a gun at a target,1353
1,A young man is standing in the kitchen holding a large casserole dish.,A man is preparing to serve a casserole dish in his kitchen.,1365
0,Synchronized swimmer water-dancing in a pool during a performance.,The swimmer is swimming through lava.,1409
0,Two paramedics are tending to an injured person.,Some people are sleeping.,1460
0,A dog is running through a lake towards some trees.,A dog digging a hole,1484
0,A dog trying to bite a man who is training him,Dog is licking his owner,1495
0,A man with a white shirt is sitting at a table in a room with other people and posters along the blue wall.,The people are outside digging in the dirt.,1528
1,A group of children listening to a teacher read a story in the library.,Children listen to a teacher read a story.,1531
0,two sumo wrestlers fighting in a match,Two sumo wrestlers are feasting in preparation for a match.,1540
1,2 men and a woman outside by a canadian flag.,A small group of people are outdoors.,1542
0,A young woman wearing a turtleneck and black jacket is smiling for a picture.,the young women wearing and smiling face for picture,1571
0,A middle-aged man wearing a blue shirt is playing a saxophone.,The man is wearing a green shirt and playing the trombone.,1581
1,A woman with brown hair is wearing a purple shirt and a white purse.,The woman is wearing a shirt.,1585
1,A group of young adults standing inside near a Pabst Blue Ribbon beer display.,There is a beer display,1604
0,"A man wearing a thick-striped orange shirt, bandanna and dreadlocks at a bowling alley is in a pose as if he just rolled a bowling bowl.",A man with closely cropped hair bowls his ball in a bowling alley.,1605
1,"One man clapping, another man taking a photograph, and several spectators fill this scene.",A man is clapping.,1619
1,"Four children at a skate park, one in rollerblades and three riding scooters.",The children are riding around at the skate park.,1625
0,A brown dog chases a blond one in the grass.,The dog is swimming in the pool.,1633
1,An old man with glasses is sleeping on a bench.,The old man is tired.,1636
0,A man wearing japanese clothes shoots an arrow at a target.,A man drinking soft drink,1645
0,Three children sit on the grass.,Three children are having a picnic.,1646
1,A man in an orange shirt is standing next to a railway line.,The man has feet on the ground.,1648
0,Orange clad workers removing snow from steps on a cold winter's day.,a group of cheerleaders dancing,1663
1,A golfer wearing a striped red polo shirt and white pants watches his drive after swinging.,A man wearing a nice outfit is looking at the shot he just hit.,1664
1,"Two couples are passionately embracing on a beach, while an elderly couple looks on from above.",Two couples are passionately embracing,1678
0,A girl swings her little brother around in a courtyard.,A girl cannot see her feet.,1679
1,"A man in a safety vest and black hat wearing rubber gloves is crouched down on a corner of an intersection, doing something with a stick.",The man is wearing a vest.,1685
0,Two Asian women are sitting at a table enjoying their foods.,Two Asian women are sitting at a table enjoying their foods in the chinese restaurant.,1686
0,a special of the day board at a restaurant.,There are lunch specials at this restaurant.,1687
1,A woman in a casino stands at an ATM to withdraw money.,The person who is shown wants to take money out of their bank account.,1693
1,Two men working outside cleaning the street in their orange uniforms.,Two men are cleaning the streets.,1707
0,A man takes a picture of his friend with performers.,A man takes a picture of his female friend.,1733
1,"Man sitting on a bench in a wooded park, watching people walk past.",A man is in a park.,1734
0,A group of people in matching native costume are assembled and appear to be participating in a ceremony.,Some native people prepare to have a ceremony.,1757
1,"A red rally-car is making its way through a muddy part of the race course, as photographers look on and take pictures of the vehicle.",The rally-car is going to be dirty,1761
0,A dog is jumping to play in the water,"The dog's owner is playing with the dog, throwing a stick into the water for the dog to retrieve.",1792
0,A young man in a tan hat and a green shirt peers over a waist high wall separating the kitchen and living area of a home.,The  young man is looking to see if dinner is ready yet.,1802
0,A man and a woman are sharing a dishwashing task in a kitchen at the sink.,The man and the woman work at a famous restaurant.,1810
0,A man in a blue shirt gesticulates as he speaks to a uniformed official.,A man is yelling at an actor.,1816
0,"An older man with a white beard, wearing a blue shirt and blue baseball cap, is playing guitar to a small black girl sitting on a red stool.",He is showing his granddaughter how to play the guitar.,1828
0,A blue race car on the side of the track.,The track is black.,1838
