cifar_index,label
22085,6
44768,3
1716,7
37963,4
33278,6
32267,0
27440,0
17483,4
49394,6
20610,4
1776,7
18659,0
38354,4
33083,2
2415,4
33311,5
27510,1
12958,2
43922,3
39071,3
6978,5
4431,2
6950,4
20327,1
30889,5
28224,2
30627,4
3176,4
20474,0
46398,4
18462,3
45111,4
32383,7
18894,5
49662,9
4585,1
43789,1
22574,7
9719,7
8602,9
36741,9
5138,9
36158,1
43931,7
28600,4
29306,9
42034,7
3255,7
8983,6
38197,6
41031,4
22662,3
9265,8
47809,6
9883,8
8741,0
22140,9
6122,1
4388,3
27160,9
16108,8
27706,0
41971,0
38359,5
12214,6
18226,9
23893,8
11100,0
19252,5
41491,6
33822,2
11155,5
7638,6
1406,4
14252,2
31184,8
20145,2
8819,2
8321,2
34007,5
23064,2
18960,3
31317,8
35997,4
7444,0
37139,9
48476,0
37223,3
2952,8
43774,7
362,7
10319,5
1836,6
36781,3
28303,6
39450,9
49760,7
36062,6
49474,5
23864,1
30568,7
4109,2
14967,1
21331,1
26691,9
45620,8
47063,8
20451,5
5106,3
7424,4
12136,4
8571,1
1251,1
39772,4
19227,8
41238,0
5710,7
20420,9
12338,2
39599,3
43514,1
9535,1
24053,8
41543,8
27502,0
15834,3
21409,7
36693,0
6949,6
1672,9
25530,2
45221,4
34324,6
10494,9
30750,1
17182,7
39502,8
12596,6
826,8
20007,3
23428,1
17549,7
38427,5
43964,7
20576,7
31646,5
40948,9
48596,7
26071,5
15907,2
17442,8
41766,4
43852,5
15815,5
37302,7
44400,4
19012,5
34136,3
23947,5
14869,4
7321,6
15022,8
18738,4
18420,6
30938,6
4525,2
48778,0
46841,3
49729,5
37978,0
22439,6
3278,5
39689,3
11934,2
17246,8
44283,4
9392,1
1515,8
673,2
28741,5
48336,8
22110,3
41705,3
5663,1
43077,0
9972,8
43313,3
46846,6
41324,0
24597,3
49064,9
17705,8
38465,4
20813,0
25587,2
48890,5
21644,6
15917,4
25327,8
41139,5
9990,9
23907,8
45045,8
34109,0
32448,8
28047,5
5391,0
18256,6
21690,9
18243,5
17540,3
48779,2
27711,5
27562,0
28885,4
41948,1
26052,5
38786,6
21988,9
13753,6
14610,9
39224,6
1215,7
3740,8
17735,2
45279,4
24882,6
40698,9
46871,1
39681,3
31862,9
44111,7
6812,3
8593,7
41407,2
42926,8
13447,2
20507,3
49372,8
6560,4
32604,2
34057,5
16717,9
22901,7
35270,6
23079,0
28661,5
31713,9
23309,4
25712,0
38778,9
18815,5
35773,9
4602,8
46427,1
30577,8
5782,7
26550,1
37572,2
5150,2
5874,0
7926,5
15066,9
39020,6
6886,2
26675,3
13189,3
39264,9
22163,1
10185,7
31174,9
47020,9
29249,2
37822,6
31823,2
10341,3
18587,5
27183,6
14242,7
45033,9
25184,3
6742,3
35540,8
42771,7
15682,3
24737,4
23585,7
29197,9
28053,9
1061,5
44430,0
37548,3
23743,4
17551,9
3583,2
41394,3
32006,3
31725,8
8901,7
827,2
45887,5
31110,1
36481,2
46498,8
29417,2
18252,9
48781,4
21968,9
38521,3
16514,4
3406,8
40795,9
43646,1
44806,0
27876,3
1533,2
35460,2
13685,5
3169,8
43632,4
2289,1
32036,2
11766,2
46516,2
26013,9
2430,7
33581,4
13017,9
20239,8
41253,8
28802,2
6745,6
32779,7
22765,4
40083,9
31043,5
28297,1
43585,1
31589,7
42957,8
8487,4
16530,2
19999,5
38659,6
27441,3
10092,9
39855,9
27367,6
14905,4
16827,3
28162,3
39531,0
34524,5
24859,0
49214,6
30553,1
28800,8
1960,0
19891,9
7374,1
42168,2
35897,9
35730,8
9448,2
37559,5
29810,3
26446,9
11734,0
11434,3
45509,0
24179,0
44874,7
12661,5
43654,5
19737,2
2432,3
7494,9
6109,1
35669,3
35023,4
28883,0
41750,4
24046,4
41243,0
4164,9
20059,5
4094,6
21136,7
32184,5
42970,3
40142,6
12313,4
16801,0
11843,2
31614,2
39985,7
44180,8
43330,5
41583,5
